fuelType,currentUsage,currentPercentage,halfHourUsage,halfHourPercentage,twentyFourHourUsage,twentyFourHourPercentage
CCGT,10947,40.52643269657929,10050,39.85248631929574,190356,35.41955075246729
COAL,0,0.0,0,0.0,1639,0.30496881465934295
INTELEC,998,3.6946542277506293,998,3.9574906812594177,20465,3.8079236070795934
INTEW,153,0.5664149266992448,72,0.28551034975017847,36,0.006698521859509668
INTFR,1362,5.04220346512661,1358,5.38504243001031,30434,5.662855952008812
INTGRNL,0,0.0,0,0.0,0,0.0
INTIFA2,992,3.672441877683992,992,3.93369815211357,20182,3.7552657824617817
INTIRL,318,1.1772545535317636,312,1.2372115155841066,251,0.04670358296491463
INTNED,0,0.0,0,0.0,1596,0.29696780243826193
INTNEM,0,0.0,0,0.0,6841,1.27290522335849
INTNSL,1114,4.124092995705612,1398,5.543659290982631,32154,5.982896440852052
INTVKL,0,0.0,0,0.0,0,0.0
NPSHYD,447,1.6548200799644603,487,1.9311602823380125,7050,1.3117938641539766
NUCLEAR,5479,20.283577669184066,5472,21.698786581013565,126127,23.468457404843775
OCGT,120,0.444247001332741,102,0.40447299547941945,461,0.08577829381205437
OIL,0,0.0,0,0.0,0,0.0
OTHER,1181,4.372130904783059,849,3.366642874137521,9662,1.7978088390717337
PS,936,3.4651266103953797,306,1.2134189864382585,5015,0.9331413090400275
WIND,2965,10.976602991263142,2822,11.19041954159727,85163,15.846283808928385
